"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority"
909,46,"Men","ON","M5B","Yes",3,0,10,0,"$200,000 or more","Not at all satisfied","Got worse","Got worse","No"
910,51,"Women","ON","N3C","No",7,7,9,0,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No"
911,54,"Men","ON","L6X","Yes",8,7,6,0,"$110,000 to $149,999","Very Satisfied","Got worse","Stayed about the same","No"
912,50,"Women","ON","M1B","Yes",10,10,9,0,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","No"
913,49,"Women","ON","L4C","Yes",9,7,10,NA,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
914,51,"Women","MN","R2E","Yes",8,8,9,1,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
915,48,"Women","ON","N1L","Yes",10,9,10,NA,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
916,52,"Men","ON","M4C","No",3,2,6,0,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
917,49,"Women","MN","R2E","No",9,2,7,0,"$110,000 to $149,999","Not at all satisfied","Got worse","Stayed about the same","No"
918,53,"Men","AB","T6J","Yes",2,5,7,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
919,53,"Women","BC","V3E","Yes",9,7,9,0,"$200,000 or more","Not very satisfied","Don't know","Don't know","No"
920,49,"Women","AB","T5M","No",1,0,7,NA,"Less than $30,000","Not at all satisfied","Got worse","Got worse","Yes"
921,53,"Women","ON","L8G","Yes",8,8,7,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
922,50,"Women","SK","S0K","Yes",9,6,7,NA,"Less than $30,000","Fairly Neutral","Got worse","Stayed about the same","No"
923,45,"Women","ON","N5C","No",7,3,7,3,"$30,000 to $59,999","Not at all satisfied","Got worse","Stayed about the same","Yes"
924,23,"Men","NS","B3R","No",3,1,8,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Stayed about the same","No"
925,54,"Women","ON","L7R","Yes",5,4,9,NA,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
926,49,"Women","ON","M4C","Yes",6,3,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
927,54,"Women","AB","T3H","Yes",9,8,9,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
928,46,"Women","ON","M4L","No",10,0,9,0,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
929,50,"Women","AB","T2P","No",8,8,4,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
930,45,"Women","ON","K0L","Yes",8,0,7,2,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
931,51,"Women","ON","M6A","Yes",5,3,5,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
932,46,"Men","ON","M1N","Yes",5,1,8,1,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
933,42,"Women","BC","V7E","Yes",5,7,9,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
934,54,"Women","ON","L9W","No",8,0,8,0,"$200,000 or more","Fairly Neutral","Don't know","Stayed about the same","No"
935,47,"Men","AB","T4N","Yes",7,5,5,0,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
936,48,"Men","ON","M2J","Yes",7,8,7,0,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
937,50,"Women","ON","N2P","Yes",8,8,9,0,"$110,000 to $149,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
938,46,"Men","ON","M4L","Yes",8,7,7,1,"$150,000 to $199,999","Not very satisfied","Got worse","Got worse","No"
939,52,"Women","MN","R3N","No",8,0,9,NA,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
940,53,"Men","ON","N4W","No",8,8,7,0,"$110,000 to $149,999","Fairly Neutral","Don't know","Stayed about the same","No"
941,53,"Women","BC","V0M","Yes",5,2,5,0,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
942,54,"Women","SK","S9A","Yes",4,4,9,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
943,46,"Men","AB","T2X","Yes",4,5,9,1,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
944,50,"Men","ON","M6C","Yes",9,7,9,2,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
945,50,"Men","ON","M2J","No",8,5,6,0,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
946,49,"Men","ON","L3R","Yes",7,5,9,2,"$90,000 to $109,999","Neutral","Got worse","Stayed about the same","No"
947,47,"Women","ON","P2A","No",10,0,7,1,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","No"
948,47,"Women","ON","N1L","No",8,9,10,1,"$90,000 to $109,999","Very Satisfied","Got worse","Got worse","No"
949,50,"Men","AB","T3K","Yes",8,7,7,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
950,47,"Women","ON","L1P","No",5,0,9,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
951,45,"Men","ON","L9H","Yes",9,8,9,0,"$90,000 to $109,999","Very Satisfied","Got better","Stayed about the same","No"
952,54,"Women","ON","M2J","Yes",8,8,9,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No"
953,54,"Men","ON","P3E","Yes",9,7,7,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
954,47,"Women","ON","M5J","Yes",4,3,6,2,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
955,53,"Men","AB","T8N","Yes",9,9,10,NA,"Prefer not to say","Neutral","Got worse","Stayed about the same","No"
956,46,"Women","ON","N6C","No",9,7,7,0,"Less than $30,000","Neutral","Got worse","Got worse","No"
957,45,"Men","ON","M1B","Yes",5,5,5,NA,"Less than $30,000","Neutral","Got worse","Got worse","No"
958,47,"Women","BC","V6Y","Yes",8,7,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
959,54,"Men","ON","M1E","No",5,2,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
960,60,"Women","AB","T3A","Yes",9,7,9,0,"$90,000 to $109,999","Very Satisfied","Got worse","Got worse","No"
961,52,"Men","SK","S7M","No",1,2,5,0,"Less than $30,000","Very Satisfied","Got worse","Got worse","No"
962,46,"Women","AB","T4V","Yes",6,3,7,2,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
963,51,"Women","ON","L6H","Yes",9,7,7,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
964,51,"Women","ON","M4A","Yes",8,6,5,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
965,48,"Women","SK","S4T","Yes",5,7,9,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
966,53,"Men","ON","N2C","No",7,7,5,0,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
967,49,"Men","ON","K2J","No",7,7,9,0,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
968,53,"Men","BC","V5E","Yes",6,6,5,0,"$110,000 to $149,999","Neutral","Stayed about the same","Stayed about the same","No"
969,53,"Women","ON","K2G","Prefer not to say",6,6,10,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
970,45,"Men","ON","K6H","No",8,8,5,3,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Got worse","No"
971,50,"Women","ON","L6Y","Yes",10,1,5,NA,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","Yes"
972,53,"Women","AB","T8E","Yes",7,4,9,1,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
973,54,"Women","ON","M3J","Yes",8,6,9,0,"Prefer not to say","Not at all satisfied","Got worse","Got worse","No"
974,51,"Women","ON","M2N","Yes",7,5,10,0,"$110,000 to $149,999","Very Satisfied","Got worse","Got worse","No"
975,54,"Men","ON","P8T","Yes",9,7,9,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
976,45,"Women","BC","V2S","No",7,4,8,0,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","No"
977,50,"Men","ON","M9M","Yes",8,7,9,1,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
978,51,"Women","ON","L4N","No",0,0,5,2,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
979,49,"Women","ON","N0P","Yes",10,5,7,0,"$150,000 to $199,999","Neutral","Don't know","Don't know","No"
980,47,"Women","AB","T4N","Yes",5,8,7,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
981,48,"Women","ON","M3A","Yes",7,3,9,1,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
982,53,"Women","MN","R0E","No",3,2,7,NA,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
983,47,"Men","ON","M3H","Yes",6,4,9,1,"$90,000 to $109,999","Not very satisfied","Got worse","Stayed about the same","No"
984,46,"Men","SK","S7K","No",6,2,7,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Don't know","No"
985,51,"Men","ON","K1C","Yes",7,0,9,1,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
986,54,"Women","ON","K2M","Yes",8,5,6,NA,"Less than $30,000","Fairly Neutral","Got worse","Stayed about the same","No"
987,47,"Men","ON","N6J","Yes",7,5,9,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
988,53,"Women","MN","R0C","No",7,3,6,0,"$90,000 to $109,999","Neutral","Got worse","Stayed about the same","No"
989,48,"Women","ON","L3B","Yes",7,7,10,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
990,52,"Women","ON","M3H","Yes",6,4,9,0,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
991,50,"Men","ON","N0R","Yes",10,10,8,NA,"$60,000 to $89,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
992,49,"Men","BC","V0B","Yes",10,10,7,NA,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
993,45,"Men","ON","K1V","Yes",7,5,9,2,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
994,49,"Men","AB","T0A","No",9,9,6,0,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
995,50,"Women","ON","L2A","Yes",6,7,6,NA,"Less than $30,000","Neutral","Got worse","Got worse","Yes"
996,54,"Women","ON","N5P","Yes",8,6,9,0,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
997,53,"Women","ON","K9V","No",10,10,5,NA,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","No"
998,51,"Men","ON","K0C","No",10,10,8,1,"$110,000 to $149,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
999,45,"Women","ON","M4K","No",8,9,7,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
1000,54,"Women","ON","N9V","Yes",8,5,9,1,"$110,000 to $149,999","Very Satisfied","Got worse","Got worse","No"
1001,46,"Men","AB","T6R","Yes",10,10,10,NA,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got worse","No"
1002,51,"Women","BC","V1C","Yes",10,10,8,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1003,50,"Women","AB","T5L","Yes",9,6,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1004,47,"Women","ON","N2N","Yes",10,9,9,1,"$110,000 to $149,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
1005,53,"Women","ON","K0E","Yes",7,6,6,0,"Prefer not to say","Neutral","Stayed about the same","Stayed about the same","Prefer not to say"
1006,52,"Women","ON","N0B","Yes",9,5,9,0,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
1007,48,"Women","ON","L4C","Yes",8,7,7,2,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
1008,45,"Men","AB","T2X","No",8,4,7,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
1009,45,"Women","ON","N1R","Yes",3,5,5,2,"$110,000 to $149,999","Neutral","Stayed about the same","Got worse","No"
1010,54,"Women","ON","N0M","Yes",7,7,7,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1011,47,"Women","ON","K0L","No",8,3,6,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","No"
1012,54,"Women","AB","T2X","No",5,5,7,1,"$110,000 to $149,999","Don't know","Stayed about the same","Stayed about the same","No"
1013,50,"Men","AB","T1X","No",7,6,7,1,"$30,000 to $59,999","Neutral","Got worse","Don't know","No"
1014,49,"Women","AB","T1P","No",8,6,6,2,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
1015,47,"Women","ON","M3L","No",6,4,5,0,"Less than $30,000","Not at all satisfied","Got worse","Got worse","No"
1016,52,"Men","SK","S4P","Yes",8,2,9,NA,"$60,000 to $89,999","Not very satisfied","Got worse","Stayed about the same","No"
1017,51,"Men","ON","L9H","Yes",9,8,9,0,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
1018,48,"Men","ON","M8V","Yes",9,2,9,0,"$150,000 to $199,999","Not at all satisfied","Got worse","Got worse","No"
1019,49,"Men","ON","L1R","Yes",7,8,7,2,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
1020,54,"Men","ON","L7C","Yes",8,7,7,0,"$110,000 to $149,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
1021,50,"Men","ON","N0B","Yes",10,7,6,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Stayed about the same","No"
1022,52,"Men","MN","R7A","Yes",8,9,5,NA,"Less than $30,000","Neutral","Got worse","Got worse","No"
1023,30,"Women","BC","V2S","No",7,7,9,1,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
1024,48,"Women","BC","V3A","Don't Know",5,5,6,NA,"Less than $30,000","Don't know","Don't know","Don't know","Yes"
1025,51,"Men","BC","V6A","Yes",4,6,4,NA,"Less than $30,000","Fairly Neutral","Stayed about the same","Got worse","No"
1026,54,"Men","ON","M4K","Yes",8,7,5,2,"$150,000 to $199,999","Neutral","Got worse","Got worse","No"
1027,52,"Women","BC","V2T","Yes",7,6,6,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
1028,48,"Men","ON","M8V","Yes",9,2,9,0,"$150,000 to $199,999","Not at all satisfied","Got worse","Got worse","No"
1029,53,"Men","ON","K2S","Yes",9,7,9,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1030,45,"Men","ON","K1L","Yes",10,10,11,1,"$60,000 to $89,999","Very Satisfied","Got better","Got better","No"
1031,50,"Men","ON","P2B","Yes",9,8,9,NA,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1032,53,"Men","AB","T6X","Yes",7,8,9,2,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got worse","No"
1033,47,"Men","ON","N1S","Yes",9,8,9,0,"$200,000 or more","Very Satisfied","Got worse","Stayed about the same","No"
1034,68,"Men","ON","K1T","Yes",8,8,9,NA,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got worse","No"
1035,47,"Men","ON","L6A","Yes",8,7,5,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1036,47,"Women","BC","V3M","No",8,6,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
1037,51,"Men","ON","L6T","Yes",5,4,10,1,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
1038,53,"Men","SK","S7L","Yes",6,3,7,0,"$150,000 to $199,999","Neutral","Got worse","Stayed about the same","No"
1039,46,"Men","ON","K2A","No",8,7,10,4,"$150,000 to $199,999","Fairly Neutral","Don't know","Stayed about the same","No"
1040,46,"Men","BC","V2T","No",4,4,8,NA,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
1041,46,"Men","BC","V2B","Yes",9,10,9,1,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1042,52,"Women","AB","T6J","Yes",10,9,10,1,"$60,000 to $89,999","Very Satisfied","Got better","Got better","No"
1043,34,"Men","SK","S7H","No",6,6,9,NA,"$30,000 to $59,999","Very Satisfied","Got worse","Don't know","No"
1044,30,"Men","QB","J1N","Yes",10,10,5,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1045,54,"Men","AB","T7X","Yes",8,8,7,0,"$60,000 to $89,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
1046,47,"Men","BC","V3A","Yes",5,6,6,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got better","No"
1047,49,"Men","BC","V0C","No",7,7,5,NA,"$30,000 to $59,999","Don't know","Stayed about the same","Stayed about the same","No"
1048,47,"Men","BC","V2R","Yes",7,5,7,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
1049,45,"Women","BC","V0K","Yes",7,5,8,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","Yes"
1050,46,"Men","BC","V5X","No",6,8,9,3,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","Prefer not to say"
1051,46,"Women","BC","V3B","Yes",6,5,10,NA,"$30,000 to $59,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
1052,30,"Men","SK","S7J","No",8,9,10,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
1053,50,"Women","BC","V9S","Yes",7,7,9,NA,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
1054,50,"Men","BC","V3C","No",5,0,6,NA,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
1055,52,"Women","BC","V1C","No",3,3,4,NA,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","No"
1056,54,"Women","BC","V5E","Prefer not to say",4,4,6,1,"Prefer not to say","Neutral","Got worse","Got worse","No"
1057,51,"Men","AB","T5X","Yes",6,3,7,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
1058,50,"Men","BC","V4W","No",10,5,5,NA,"Prefer not to say","Not at all satisfied","Stayed about the same","Stayed about the same","No"
1059,48,"Women","BC","V2B","Yes",7,4,5,1,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
1060,50,"Women","BC","V9R","No",7,7,10,2,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
1061,50,"Men","AB","T7S","Yes",7,2,9,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No"
1062,50,"Women","AB","T2R","No",2,3,10,2,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","No"
1063,45,"Men","BC","V0R","No",7,6,7,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
1064,50,"Men","BC","V7C","Yes",8,7,9,2,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
1065,22,"Men","AB","T0K","Yes",10,10,6,0,"$110,000 to $149,999","Not at all satisfied","Stayed about the same","Stayed about the same","No"
1066,47,"Women","BC","V5P","Yes",4,6,6,3,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
1067,48,"Men","AB","T6J","Yes",9,0,7,2,"$60,000 to $89,999","Not at all satisfied","Got worse","Got worse","No"
1068,47,"Men","AB","T5X","No",8,3,9,1,"$200,000 or more","Fairly Neutral","Got worse","Got worse","No"
1069,45,"Men","BC","V4M","Yes",8,7,9,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1070,49,"Men","BC","V7A","Yes",6,7,7,2,"$30,000 to $59,999","Fairly Neutral","Got better","Stayed about the same","No"
1071,50,"Men","BC","V6B","Yes",8,9,9,2,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
1072,30,"Men","QB","H2T","Yes",4,4,9,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1073,25,"Men","QB","J8R","Yes",9,6,5,1,"$90,000 to $109,999","Very Satisfied","Got better","Got better","Yes"
1074,30,"Men","QB","J3Y","No",6,6,5,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
1075,52,"Men","AB","T4L","Yes",10,8,11,0,"$200,000 or more","Fairly Neutral","Stayed about the same","Stayed about the same","No"
1076,22,"Men","SK","S7L","Don't Know",5,5,5,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
1077,33,"Men","QB","J3A","Yes",8,8,5,4,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
1078,53,"Women","AB","T6M","Yes",7,5,9,1,"$90,000 to $109,999","Not at all satisfied","Got worse","Got worse","No"
1079,59,"Men","QB","J0G","Yes",8,8,9,1,"$150,000 to $199,999","Fairly Neutral","Got better","Stayed about the same","No"
1080,46,"Women","BC","V0X","Yes",4,1,7,0,"Less than $30,000","Not at all satisfied","Got worse","Got worse","Yes"
1081,24,"Men","AB","T2N","No",7,3,9,NA,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","No"
1082,46,"Men","ON","M2J","Yes",9,6,9,NA,"Prefer not to say","Fairly Neutral","Got worse","Got worse","No"
1083,54,"Women","ON","L1Z","Yes",8,6,9,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
